---
primary_metric:    0.925000
metric_name:       coverage
metric_goal:       higher
training_seconds:  NA
total_seconds:     0.1
train_rows:        NA
val_rows:          NA
status:            ok
--- aux_metrics ---
artifact: tables/sealed_coverage_blockC.tsv
rows:              1
sha256:            99aac71a3400c9036e24c943797e97a181515c6b00589ecab4981fa1394659ce
wall_seconds:      0.106223
split_fingerprint: 106a725532097219283d5c3bf547d675af5a4b7227101b1d85a413cae0ccfd24
n_rep: 1000.0
n_boot: 500.0
n_obs: 24.0
k_true: 450.0
sigma: 232.91067
nominal_level: 0.95
sealed_seed_block_c: 20260905.0
seed_used: 20260905.0
shortfall_from_nominal: 0.02499999999999991
mean_k_hat: 450.41753155941706
bias: 0.417531559417057
mean_ci_width: 287.021258112542
development_coverage_block_b: 0.911
sealed_minus_development: 0.014000000000000012
runner_status: ok
runner_exit_code: 0
